Date,Open,High,Low,Close,Volume
1-Sep-17,31350.00,31450.00,30700.00,30750.00,1679520
31-Aug-17,31200.00,31400.00,31000.00,31150.00,1752344
30-Aug-17,30500.00,31000.00,30350.00,30900.00,2323686
29-Aug-17,30100.00,30450.00,30000.00,30300.00,1872733
28-Aug-17,30950.00,31100.00,30400.00,30500.00,1804065
25-Aug-17,30750.00,31100.00,30500.00,31000.00,2080865
24-Aug-17,31150.00,31200.00,30300.00,30400.00,2736508
23-Aug-17,31050.00,31650.00,31050.00,31200.00,2332142
22-Aug-17,31250.00,31400.00,30750.00,31100.00,1897132
21-Aug-17,30550.00,31150.00,30100.00,31100.00,2577979
18-Aug-17,30050.00,30700.00,29750.00,30300.00,2045536
17-Aug-17,29800.00,30500.00,29650.00,30350.00,2657655
16-Aug-17,30000.00,30100.00,29400.00,29600.00,2616961
14-Aug-17,30300.00,30400.00,29800.00,29900.00,2326483
11-Aug-17,28950.00,30150.00,28700.00,30000.00,4217908
10-Aug-17,29900.00,30150.00,29100.00,29350.00,4155959
9-Aug-17,30200.00,30350.00,29750.00,29900.00,3661836
8-Aug-17,31100.00,31200.00,30400.00,30650.00,2614769
7-Aug-17,30900.00,31350.00,30900.00,31050.00,1574569
4-Aug-17,31100.00,31250.00,30550.00,30850.00,2460844
3-Aug-17,31800.00,32000.00,30850.00,31100.00,3215737
2-Aug-17,31850.00,32600.00,31750.00,31900.00,4764655
1-Aug-17,31850.00,31850.00,31050.00,31350.00,3395902
31-Jul-17,30800.00,31750.00,30800.00,31650.00,3872962
28-Jul-17,32300.00,32400.00,30750.00,30800.00,6437788
27-Jul-17,32150.00,32600.00,31650.00,31750.00,5475429
26-Jul-17,33150.00,33300.00,31800.00,32400.00,6736442
25-Jul-17,33400.00,33750.00,32650.00,32800.00,5065999
24-Jul-17,34200.00,34400.00,33000.00,33250.00,6462775
21-Jul-17,34650.00,35000.00,34000.00,34200.00,6314489
20-Jul-17,36850.00,36900.00,34200.00,34300.00,13690753
19-Jul-17,36550.00,37700.00,36500.00,37350.00,3193550
18-Jul-17,36100.00,36850.00,36000.00,36300.00,2252591
17-Jul-17,36200.00,36350.00,35550.00,36050.00,2338467
14-Jul-17,36900.00,37000.00,35750.00,35950.00,3135762
13-Jul-17,36900.00,37450.00,36650.00,36700.00,2460680
12-Jul-17,37350.00,37650.00,36350.00,36350.00,2031375
11-Jul-17,35950.00,37100.00,35500.00,37000.00,3024468
10-Jul-17,36700.00,37100.00,35500.00,35700.00,3398800
7-Jul-17,37300.00,37500.00,36300.00,36500.00,3406885
6-Jul-17,39000.00,39000.00,37650.00,37800.00,3794057
5-Jul-17,39050.00,39600.00,38350.00,38900.00,4917715
